epoch,training_loss,validation_loss,mean_IoU,accuracy,dice
41,0.5224922872116776,0.47345219584910764,0.6126,0.81625,0.74989
42,0.5346678626375133,0.4643350834755794,0.61851,0.80837,0.75725
43,0.519359818182024,0.4545560202196888,0.63786,0.83141,0.77089
44,0.5233314190794821,0.5507342811349941,0.55303,0.77421,0.69782
45,0.5152345788113925,0.46015642883013125,0.67353,0.85392,0.79905
46,0.5253349287980268,0.4721177382313687,0.6062,0.79775,0.7483
47,0.5192549819443502,0.4523447340597277,0.66985,0.84873,0.79663
48,0.5045220287884173,0.5388257512417824,0.56931,0.79427,0.71069
49,0.5166198608826618,0.4468392877960983,0.67117,0.85198,0.79723
50,0.5110967231242836,0.46387001353761426,0.61633,0.81614,0.7535
51,0.5105702218758006,0.45438745026679145,0.66986,0.8547,0.79576
52,0.5236179102643006,0.461207759688082,0.66976,0.85634,0.79545
53,0.515338185368752,0.4652883624253066,0.62208,0.8251,0.75725
54,0.5140074804323871,0.4394662121877722,0.66333,0.84952,0.79068
55,0.5200111786929928,0.4545908586486526,0.63868,0.83558,0.77092
56,0.5074624116728906,0.4585581226679294,0.6247,0.81918,0.76091
57,0.5049113867842421,0.44103468833086285,0.64687,0.83335,0.77885
58,0.5132567053343974,0.49105201078497845,0.59756,0.80883,0.7367
59,0.5096021528146705,0.5230032852648393,0.55659,0.76954,0.70326
60,0.5106132091510863,0.4953920918152384,0.59421,0.79617,0.73575
61,0.5137498639067825,0.45016080578384193,0.63293,0.82531,0.76753
62,0.5085117408004748,0.4466384190094212,0.66575,0.84621,0.79336
63,0.508234462446096,0.5066361598184576,0.57709,0.78509,0.72072
64,0.5157592186514213,0.4790265967502542,0.60393,0.80588,0.74358
65,0.5096606838662608,0.44706244410380075,0.63986,0.83185,0.7727
66,0.5120186510337453,0.46856758792115294,0.62635,0.83243,0.75986
67,0.5084315959490886,0.46515063641835813,0.61516,0.81653,0.75218
68,0.5017992658071777,0.4752345466581376,0.60425,0.80442,0.74395
69,0.5026509814927367,0.44553520822006726,0.63727,0.82588,0.77131
70,0.5069540017721604,0.45725874205970246,0.63326,0.82951,0.76705
71,0.509643854717819,0.44113228405299393,0.6502,0.84082,0.78038
72,0.5048356686319624,0.4442558361460333,0.654,0.83808,0.78451
73,0.49919833070566866,0.4483986519601034,0.66014,0.83895,0.78985
74,0.5078604890679826,0.48221231519204116,0.59808,0.78923,0.74171
75,0.5036008993277744,0.46206319907113264,0.61934,0.81518,0.75676
76,0.5116359543029954,0.43900002555354783,0.65327,0.83585,0.78412
77,0.5095860042539584,0.44348219182828197,0.64769,0.82985,0.78043
78,0.5087234852062602,0.4619513445574304,0.62111,0.81037,0.75928
79,0.5001951279790223,0.47890700586140156,0.61111,0.82115,0.74745
80,0.508116966364335,0.4416300979159448,0.65131,0.84102,0.78141
81,0.512706324214838,0.4585236383035131,0.63894,0.83709,0.77102
82,0.514098901164775,0.455320477809595,0.66059,0.83907,0.79031
83,0.5101691693878498,0.46813910810843756,0.62663,0.82619,0.76149
84,0.5085400364228657,0.48790336651322636,0.59179,0.80039,0.73243
85,0.49360668313543815,0.44942708661698777,0.64237,0.83397,0.77467
86,0.49774975985491354,0.5087580887357825,0.57501,0.78547,0.71876
87,0.49437276850752276,0.466616481785541,0.6182,0.81183,0.75607
88,0.49855324153591984,0.44362665777621063,0.64323,0.83147,0.77586
89,0.5047049385957978,0.4446291708103988,0.64202,0.83107,0.77485
90,0.4959448888188317,0.5410089687160824,0.55387,0.76996,0.69981
91,0.5027652587817639,0.44226703428379865,0.65272,0.83443,0.78402
92,0.4957065800014807,0.45436250191667804,0.63603,0.8317,0.76916
93,0.4984972730380337,0.4782490309975717,0.60974,0.80985,0.74828
94,0.49489744981738176,0.4448983439284822,0.63854,0.8275,0.77236
95,0.5025960434861735,0.4378460697505785,0.64872,0.83639,0.77984
96,0.4984471473158622,0.4848107397556305,0.59473,0.801,0.7353
97,0.49464318758370923,0.45384448564246943,0.65175,0.84494,0.7814
98,0.5037233816928604,0.44516817893347016,0.63795,0.829,0.77139
99,0.5044856246636839,0.43584451816328196,0.65285,0.83837,0.78322
100,0.5017867805600977,0.44193717327130877,0.67093,0.85326,0.79678
1,1.0425824179130347,0.8286569228638774,0.43329,0.75076,0.54452
2,0.8503648120529798,0.730381211184937,0.49628,0.78288,0.62148
3,0.7352398930358238,0.5592376286892787,0.60377,0.81549,0.74228
4,0.6587569451656471,0.5347372076433637,0.59881,0.80704,0.73898
5,0.6214603884082263,0.5136982084292433,0.62681,0.82482,0.76254
6,0.6185666070908916,0.5166040096917878,0.62559,0.81782,0.7628
7,0.6106870438168649,0.5618318290976079,0.55426,0.76797,0.70132
8,0.5950197535307229,0.5157845051068327,0.65499,0.8454,0.78465
9,0.5836120451185979,0.5003012426845406,0.62294,0.81674,0.76033
10,0.5907032342184158,0.6115816312477641,0.52758,0.7601,0.67341
11,0.585097258168013,0.4909717230855123,0.65198,0.84268,0.78224
